Station,Date,Daily_Entry,Daily_Exit	
66 ST-LINCOLN,09/13/2020,1705,2658	
66 ST-LINCOLN,09/14/2020,3832,4842	
66 ST-LINCOLN,09/15/2020,4132,5396	
66 ST-LINCOLN,09/16/2020,4021,5132	
66 ST-LINCOLN,09/17/2020,4009,5155	
66 ST-LINCOLN,09/18/2020,3885,5108	
66 ST-LINCOLN,09/19/2020,1587,2107	
66 ST-LINCOLN,09/20/2020,1148,1605	
66 ST-LINCOLN,09/21/2020,3901,5011	
66 ST-LINCOLN,09/22/2020,4041,5260	
66 ST-LINCOLN,09/23/2020,4099,5287	
66 ST-LINCOLN,09/24/2020,4311,5556	
66 ST-LINCOLN,09/25/2020,28696,38390	
66 ST-LINCOLN,10/03/2020,2742,3981	
66 ST-LINCOLN,10/04/2020,1811,2783	
66 ST-LINCOLN,10/05/2020,4113,5291	
66 ST-LINCOLN,10/06/2020,4292,5487	
66 ST-LINCOLN,10/07/2020,4295,5453	
66 ST-LINCOLN,10/08/2020,4341,5655	
66 ST-LINCOLN,10/09/2020,4208,5548	
66 ST-LINCOLN,10/10/2020,2612,3633	
66 ST-LINCOLN,10/11/2020,1657,2410	
66 ST-LINCOLN,10/12/2020,3004,3982	
66 ST-LINCOLN,10/13/2020,4151,5306	
66 ST-LINCOLN,10/14/2020,4339,5598	
66 ST-LINCOLN,10/15/2020,4493,5651	
66 ST-LINCOLN,10/16/2020,4232,5138	
66 ST-LINCOLN,10/17/2020,2661,3715	
66 ST-LINCOLN,10/18/2020,1798,2719	
66 ST-LINCOLN,10/19/2020,4023,5159	
66 ST-LINCOLN,10/20/2020,4284,5450	
66 ST-LINCOLN,10/21/2020,4309,5477	
66 ST-LINCOLN,10/22/2020,4468,5572	
66 ST-LINCOLN,10/23/2020,4273,5735	
66 ST-LINCOLN,10/24/2020,2377,3281	
66 ST-LINCOLN,10/25/2020,1756,2657	
66 ST-LINCOLN,10/26/2020,4121,5209	
66 ST-LINCOLN,10/27/2020,4366,5759	
66 ST-LINCOLN,10/28/2020,4416,5558	
66 ST-LINCOLN,10/29/2020,4613,5711	
66 ST-LINCOLN,10/30/2020,4272,5744	
66 ST-LINCOLN,10/31/2020,1821,2443	
66 ST-LINCOLN,11/01/2020,1110,1730	
66 ST-LINCOLN,11/02/2020,4295,5604	
66 ST-LINCOLN,11/03/2020,3763,4897	
66 ST-LINCOLN,11/04/2020,4114,5176	
66 ST-LINCOLN,11/05/2020,4393,5751	
66 ST-LINCOLN,11/06/2020,4270,5590	
66 ST-LINCOLN,11/07/2020,2774,4534	
66 ST-LINCOLN,11/08/2020,1805,3367	
66 ST-LINCOLN,11/09/2020,4188,5312	
66 ST-LINCOLN,11/10/2020,4448,5684	
66 ST-LINCOLN,11/11/2020,4219,5561	
66 ST-LINCOLN,11/12/2020,4633,5930	
66 ST-LINCOLN,11/13/2020,4345,5848	
66 ST-LINCOLN,11/14/2020,2716,4142	
66 ST-LINCOLN,11/15/2020,-52145802,-25766228	
66 ST-LINCOLN,11/16/2020,52151736,25774365	
66 ST-LINCOLN,11/17/2020,4575,5832	
66 ST-LINCOLN,11/18/2020,4505,5841	
66 ST-LINCOLN,11/19/2020,4251,5595	
67 AV,01/01/2020,2464,1439	
67 AV,01/02/2020,8580,4341	
67 AV,01/03/2020,8442,4147	
67 AV,01/04/2020,3665,1612	
67 AV,01/05/2020,3020,1746	
67 AV,01/06/2020,9281,4657	
67 AV,01/07/2020,9370,4807	
67 AV,01/08/2020,9402,4720	
67 AV,01/09/2020,9434,4657	
67 AV,01/10/2020,9038,4192	
67 AV,01/11/2020,3123,1423	
67 AV,01/12/2020,2290,1156	
67 AV,01/13/2020,8989,4217	
67 AV,01/14/2020,9194,4671	
67 AV,01/15/2020,9425,4656	
67 AV,01/16/2020,9408,4718	
67 AV,01/17/2020,8804,4292	
67 AV,01/18/2020,3826,2129	
67 AV,01/19/2020,3476,2013	
67 AV,01/20/2020,5175,2682	
67 AV,01/21/2020,8873,4478	
67 AV,01/22/2020,8784,3921	
67 AV,01/23/2020,8848,4312	
67 AV,01/24/2020,8397,3792	
67 AV,01/25/2020,2632,1170	
67 AV,01/26/2020,2080,1092	
67 AV,01/27/2020,8460,4173	
67 AV,01/28/2020,9480,4800	
67 AV,01/29/2020,9447,4576	
67 AV,01/30/2020,9469,4792	
67 AV,01/31/2020,8817,4262	
67 AV,02/01/2020,3829,2142	
67 AV,02/02/2020,3239,1875	
67 AV,02/03/2020,9191,4576	
67 AV,02/04/2020,9442,4759	
67 AV,02/05/2020,9601,4710	
67 AV,02/06/2020,9551,4724	
67 AV,02/07/2020,9112,4362	
67 AV,02/08/2020,4263,2443	
67 AV,02/09/2020,3236,1904	
67 AV,02/10/2020,9202,4783	
67 AV,02/11/2020,9482,4722	
67 AV,02/12/2020,9393,4609	
67 AV,02/13/2020,9517,4646	
67 AV,02/14/2020,9047,4299	
67 AV,02/15/2020,3655,1995	
67 AV,02/16/2020,3058,1614	
67 AV,02/17/2020,5025,2489	
67 AV,02/18/2020,8186,4138	
67 AV,02/19/2020,8554,4174	
67 AV,02/20/2020,8530,4296	
67 AV,02/21/2020,7793,3828	
67 AV,02/22/2020,4155,2268	
67 AV,02/23/2020,3378,1982	
67 AV,02/24/2020,9151,4561	
67 AV,02/25/2020,9448,4740	
67 AV,02/26/2020,9481,4635	
67 AV,02/27/2020,9754,4820	
67 AV,02/28/2020,9171,4344	
67 AV,02/29/2020,4108,2075	
67 AV,03/01/2020,3312,1666	
67 AV,03/02/2020,9168,4506	
67 AV,03/03/2020,9551,4752	
67 AV,03/04/2020,9205,4524	
67 AV,03/05/2020,9410,4681	
67 AV,03/06/2020,8725,4359	
67 AV,03/07/2020,5621,3477	
67 AV,03/09/2020,8653,4388	
67 AV,03/10/2020,8484,4282	
67 AV,03/11/2020,8253,4170	
67 AV,03/12/2020,7552,3921	
67 AV,03/13/2020,6332,3178	
67 AV,03/14/2020,2419,1373	
67 AV,03/15/2020,1757,985	
67 AV,03/16/2020,3838,2032	
67 AV,03/17/2020,3093,1663	
67 AV,03/18/2020,2722,1435	
67 AV,03/19/2020,2314,1226	
67 AV,03/20/2020,1965,1117	
67 AV,03/21/2020,911,566	
67 AV,03/22/2020,678,434	
67 AV,03/23/2020,1134,733	
67 AV,03/24/2020,1104,659	
67 AV,03/25/2020,1014,612	
67 AV,03/26/2020,996,661	
67 AV,03/27/2020,951,550	
67 AV,03/28/2020,500,349	
67 AV,03/29/2020,409,344	
67 AV,03/30/2020,819,484	
67 AV,03/31/2020,802,484	
67 AV,04/01/2020,724,435	
67 AV,04/02/2020,711,495	
67 AV,04/03/2020,730,501	
67 AV,04/04/2020,419,317	
67 AV,04/05/2020,346,284	
67 AV,04/06/2020,661,415	
67 AV,04/07/2020,621,397	
67 AV,04/08/2020,581,396	
67 AV,04/09/2020,604,392	
67 AV,04/10/2020,584,368	
67 AV,04/11/2020,331,252	
67 AV,04/12/2020,278,219	
67 AV,04/13/2020,538,358	
67 AV,04/14/2020,624,380	
67 AV,04/15/2020,619,374	
67 AV,04/16/2020,591,382	
67 AV,04/17/2020,618,380	
67 AV,04/18/2020,370,333	
67 AV,04/19/2020,347,264	
67 AV,04/20/2020,382,458	
67 AV,04/21/2020,900,469	
67 AV,04/22/2020,663,442	
67 AV,04/23/2020,679,433	
67 AV,04/24/2020,638,418	
67 AV,04/25/2020,405,313	
67 AV,04/26/2020,322,350	
67 AV,04/27/2020,650,416	
67 AV,04/28/2020,696,467	
67 AV,04/29/2020,667,463	
67 AV,04/30/2020,686,472	
67 AV,05/01/2020,709,506	
67 AV,05/02/2020,428,313	
67 AV,05/03/2020,366,250	
67 AV,05/04/2020,701,515	
67 AV,05/05/2020,742,489	
67 AV,05/06/2020,735,479	
67 AV,05/07/2020,795,530	
67 AV,05/08/2020,710,466	
67 AV,05/09/2020,438,345	
67 AV,05/10/2020,371,247	
67 AV,05/11/2020,823,491	
67 AV,05/12/2020,802,518	
67 AV,05/13/2020,798,509	
67 AV,05/14/2020,802,525	
67 AV,05/15/2020,801,485	
67 AV,05/16/2020,490,319	
67 AV,05/17/2020,403,292	
67 AV,05/18/2020,861,545	
67 AV,05/19/2020,853,556	
67 AV,05/20/2020,888,566	
67 AV,05/21/2020,933,570	
67 AV,05/22/2020,901,575	
67 AV,05/23/2020,461,329	
67 AV,05/24/2020,463,307	
67 AV,05/25/2020,564,390	
67 AV,05/26/2020,1013,601	
67 AV,05/27/2020,1018,666	
67 AV,05/28/2020,998,621	
67 AV,05/29/2020,976,611	
67 AV,05/30/2020,608,424	
67 AV,05/31/2020,508,363	
67 AV,06/01/2020,1047,656	
67 AV,06/02/2020,1009,712	
67 AV,06/03/2020,1018,671	
67 AV,06/04/2020,1076,642	
67 AV,06/05/2020,1025,604	
67 AV,06/06/2020,556,335	
67 AV,06/07/2020,409,273	
67 AV,06/08/2020,1244,706	
67 AV,06/09/2020,1287,791	
67 AV,06/10/2020,1308,779	
67 AV,06/11/2020,1243,771	
67 AV,06/12/2020,1343,806	
67 AV,06/13/2020,655,444	
67 AV,06/14/2020,549,409	
67 AV,06/15/2020,1380,789	
67 AV,06/16/2020,1440,835	
67 AV,06/17/2020,1437,877	
67 AV,06/18/2020,1480,881	
67 AV,06/19/2020,1511,844	
67 AV,06/20/2020,852,646	
67 AV,06/21/2020,648,486	
67 AV,06/22/2020,1620,943	
67 AV,06/23/2020,1683,1003	
67 AV,06/24/2020,1740,949	
67 AV,06/25/2020,1781,983	
67 AV,06/26/2020,1755,929	
67 AV,06/27/2020,1014,662	
67 AV,06/28/2020,833,604	
67 AV,06/29/2020,1837,1066	
67 AV,06/30/2020,1859,1104	
67 AV,07/01/2020,1834,1059	
67 AV,07/02/2020,1931,1056	
67 AV,07/03/2020,1359,732	
67 AV,07/04/2020,835,464	
67 AV,07/05/2020,773,521	
67 AV,07/06/2020,1878,1079	
67 AV,07/07/2020,1943,1192	
67 AV,07/08/2020,2005,1121	
67 AV,07/09/2020,2010,1140	
67 AV,07/10/2020,1726,998	
67 AV,07/11/2020,1031,680	
67 AV,07/12/2020,913,657	
67 AV,07/13/2020,2022,1189	
67 AV,07/14/2020,2064,1160	
67 AV,07/15/2020,2050,1145	
67 AV,07/16/2020,2121,1194	
67 AV,07/17/2020,1966,1117	
67 AV,07/18/2020,946,424	
67 AV,07/19/2020,680,359	
67 AV,07/20/2020,1979,1115	
67 AV,07/21/2020,2154,1169	
67 AV,07/22/2020,2083,1221	
67 AV,07/23/2020,2124,1175	
67 AV,07/24/2020,1989,1087	
67 AV,07/25/2020,918,450	
67 AV,07/26/2020,696,394	
67 AV,07/27/2020,-11422750,-6964211	
67 AV,07/28/2020,-5945070,-360370	
67 AV,07/29/2020,17374147,7328125	
67 AV,07/30/2020,2119,1212	
67 AV,07/31/2020,2078,1107	
67 AV,08/01/2020,1121,747	
67 AV,08/02/2020,809,595	
67 AV,08/03/2020,2182,1251	
67 AV,08/04/2020,-32717077,-24480611	
67 AV,08/05/2020,32721230,24482885	
67 AV,08/06/2020,2221,1234	
67 AV,08/07/2020,15188,8887	
67 AV,08/15/2020,1256,870	
67 AV,08/16/2020,886,666	
67 AV,08/17/2020,2247,1330	
67 AV,08/18/2020,2261,1260	
67 AV,08/19/2020,2080,1243	
67 AV,08/20/2020,2342,1316	
67 AV,08/21/2020,2204,1242	
67 AV,08/22/2020,1160,734	
67 AV,08/23/2020,878,535	
67 AV,08/24/2020,2164,1280	
67 AV,08/25/2020,2268,1304	
67 AV,08/26/2020,2328,1298	
67 AV,08/27/2020,2330,1346	
67 AV,08/28/2020,2232,1235	
67 AV,08/29/2020,1033,664	
67 AV,08/30/2020,1015,689	
67 AV,08/31/2020,2437,1392	
67 AV,09/01/2020,2426,1431	
67 AV,09/02/2020,2502,1399	
67 AV,09/03/2020,2567,1472	
67 AV,09/04/2020,2475,1439	
67 AV,09/05/2020,1470,972	
67 AV,09/06/2020,1268,855	
67 AV,09/07/2020,1346,909	
67 AV,09/08/2020,2706,1506	
67 AV,09/09/2020,2676,1535	
67 AV,09/10/2020,2643,1594	
67 AV,09/11/2020,2743,1522	
67 AV,09/12/2020,1157,700	
67 AV,09/13/2020,903,529	
67 AV,09/14/2020,2740,1533	
67 AV,09/15/2020,2833,1618	
67 AV,09/16/2020,2744,1606	
67 AV,09/17/2020,2813,1637	
67 AV,09/18/2020,2698,1525	
67 AV,09/19/2020,1486,987	
67 AV,09/20/2020,1139,770	
67 AV,09/21/2020,2686,1567	
67 AV,09/22/2020,2810,1519	
67 AV,09/23/2020,2907,1611	
67 AV,09/24/2020,2853,1555	
67 AV,09/25/2020,608917,11026	
67 AV,10/03/2020,1598,1055	
67 AV,10/04/2020,1221,835	
67 AV,10/05/2020,2764,1545	
67 AV,10/06/2020,2930,1608	
67 AV,10/07/2020,2872,1586	
67 AV,10/08/2020,2924,1645	
67 AV,10/09/2020,2674,1473	
67 AV,10/10/2020,1349,886	
67 AV,10/11/2020,982,689	
67 AV,10/12/2020,2028,1224	
67 AV,10/13/2020,2714,1541	
67 AV,10/14/2020,2951,1548	
67 AV,10/15/2020,2863,1567	
67 AV,10/16/2020,2614,1469	
67 AV,10/17/2020,1438,995	
67 AV,10/18/2020,1042,742	
67 AV,10/19/2020,2751,1543	
67 AV,10/20/2020,2839,1545	
67 AV,10/21/2020,2840,1556	
67 AV,10/22/2020,2848,1677	
67 AV,10/23/2020,2722,1478	
67 AV,10/24/2020,1128,697	
67 AV,10/25/2020,861,580	
67 AV,10/26/2020,2788,1650	
67 AV,10/27/2020,2930,1674	
67 AV,10/28/2020,2876,1616	
67 AV,10/29/2020,2837,1685	
67 AV,10/30/2020,2827,1532	
67 AV,10/31/2020,1639,1129	
67 AV,11/01/2020,1148,907	
67 AV,11/02/2020,2894,1658	
67 AV,11/03/2020,2590,1472	
67 AV,11/04/2020,2710,1554	
67 AV,11/05/2020,2953,1582	
67 AV,11/06/2020,2931,1638	
67 AV,11/07/2020,1661,1161	
67 AV,11/08/2020,1371,939	
67 AV,11/09/2020,2964,1684	
67 AV,11/10/2020,3052,1675	
67 AV,11/11/2020,2598,1546	
67 AV,11/12/2020,2942,1732	
67 AV,11/13/2020,2804,1623	
67 AV,11/14/2020,1629,1061	
67 AV,11/15/2020,1227,885	
67 AV,11/16/2020,2856,1571	
67 AV,11/17/2020,2887,1663	
67 AV,11/18/2020,2724,1707	
67 AV,11/19/2020,2838,1656	
68ST-HUNTER CO,01/01/2020,4924,4018	
68ST-HUNTER CO,01/02/2020,16332,14954	
68ST-HUNTER CO,01/03/2020,16042,14623	
68ST-HUNTER CO,01/04/2020,7290,7688	
68ST-HUNTER CO,01/05/2020,5760,5837	
68ST-HUNTER CO,01/06/2020,19336,17754	
68ST-HUNTER CO,01/07/2020,19841,17610	
68ST-HUNTER CO,01/08/2020,20718,17724	
68ST-HUNTER CO,01/09/2020,20121,17443	
68ST-HUNTER CO,01/10/2020,19634,17277	
68ST-HUNTER CO,01/11/2020,8510,9572	
68ST-HUNTER CO,01/12/2020,5895,6854	
68ST-HUNTER CO,01/13/2020,19825,17342	
68ST-HUNTER CO,01/14/2020,20370,17740	
68ST-HUNTER CO,01/15/2020,20445,17865	
68ST-HUNTER CO,01/16/2020,20597,17770	
68ST-HUNTER CO,01/17/2020,18703,16161	
68ST-HUNTER CO,01/18/2020,6784,6364	
68ST-HUNTER CO,01/19/2020,5158,5093	
68ST-HUNTER CO,01/20/2020,10311,10240	
68ST-HUNTER CO,01/21/2020,20382,17912	
68ST-HUNTER CO,01/22/2020,20875,17564	
68ST-HUNTER CO,01/23/2020,20657,17697	
68ST-HUNTER CO,01/24/2020,19044,16811	
68ST-HUNTER CO,01/25/2020,6758,6790	
68ST-HUNTER CO,01/26/2020,5409,5297	
68ST-HUNTER CO,01/27/2020,27189,22551	
68ST-HUNTER CO,01/28/2020,28372,23469	
68ST-HUNTER CO,01/29/2020,26710,22249	
68ST-HUNTER CO,01/30/2020,28337,23655	
68ST-HUNTER CO,01/31/2020,23853,20572	
68ST-HUNTER CO,02/01/2020,8361,8154	
68ST-HUNTER CO,02/02/2020,5279,5500	
68ST-HUNTER CO,02/03/2020,26271,22072	
68ST-HUNTER CO,02/04/2020,27584,22529	
68ST-HUNTER CO,02/05/2020,25825,21533	
68ST-HUNTER CO,02/06/2020,28052,23172	
68ST-HUNTER CO,02/07/2020,24164,20848	
68ST-HUNTER CO,02/08/2020,9335,9056	
68ST-HUNTER CO,02/09/2020,6207,6160	
68ST-HUNTER CO,02/10/2020,27215,22355	
68ST-HUNTER CO,02/11/2020,27312,22694	
68ST-HUNTER CO,02/12/2020,19116,16608	
68ST-HUNTER CO,02/13/2020,27744,23541	
68ST-HUNTER CO,02/14/2020,23737,19599	
68ST-HUNTER CO,02/15/2020,7299,6720	
68ST-HUNTER CO,02/16/2020,4828,4880	
68ST-HUNTER CO,02/17/2020,8922,7990	
68ST-HUNTER CO,02/18/2020,25492,21063	
68ST-HUNTER CO,02/19/2020,25132,20901	
68ST-HUNTER CO,02/20/2020,26538,22092	
68ST-HUNTER CO,02/21/2020,22264,18981	
68ST-HUNTER CO,02/22/2020,8750,8519	
68ST-HUNTER CO,02/23/2020,5984,5897	
68ST-HUNTER CO,02/24/2020,25557,21996	
68ST-HUNTER CO,02/25/2020,27882,23150	
68ST-HUNTER CO,02/26/2020,26207,21770	
68ST-HUNTER CO,02/27/2020,27949,23205	
68ST-HUNTER CO,02/28/2020,23380,20431	
68ST-HUNTER CO,02/29/2020,8914,8206	
68ST-HUNTER CO,03/01/2020,6238,6411	
68ST-HUNTER CO,03/02/2020,25183,21728	
68ST-HUNTER CO,03/03/2020,26384,22298	
68ST-HUNTER CO,03/04/2020,24647,21016	
68ST-HUNTER CO,03/05/2020,25961,22210	
68ST-HUNTER CO,03/06/2020,23026,20071	
68ST-HUNTER CO,03/07/2020,7843,7806	
68ST-HUNTER CO,03/08/2020,5095,5585	
68ST-HUNTER CO,03/09/2020,23070,20836	
68ST-HUNTER CO,03/10/2020,22927,20525	
68ST-HUNTER CO,03/11/2020,19871,18310	
68ST-HUNTER CO,03/12/2020,14435,13898	
68ST-HUNTER CO,03/13/2020,11137,11436	
68ST-HUNTER CO,03/14/2020,3627,3872	
68ST-HUNTER CO,03/15/2020,2475,2747	
68ST-HUNTER CO,03/16/2020,7643,8153	
68ST-HUNTER CO,03/17/2020,6547,7333	
68ST-HUNTER CO,03/18/2020,5784,6521	
68ST-HUNTER CO,03/19/2020,5152,5935	
68ST-HUNTER CO,03/20/2020,4484,5168	
68ST-HUNTER CO,03/21/2020,1730,2002	
68ST-HUNTER CO,03/22/2020,1236,1555	
68ST-HUNTER CO,03/23/2020,3069,3720	
68ST-HUNTER CO,03/24/2020,2888,3334	
68ST-HUNTER CO,03/25/2020,2733,3269	
68ST-HUNTER CO,03/26/2020,2620,3108	
68ST-HUNTER CO,03/27/2020,2522,3012	
68ST-HUNTER CO,03/28/2020,1163,1403	
68ST-HUNTER CO,03/29/2020,907,1076	
68ST-HUNTER CO,03/30/2020,2241,2652	
68ST-HUNTER CO,03/31/2020,2134,2614	
68ST-HUNTER CO,04/01/2020,2074,2384	
68ST-HUNTER CO,04/02/2020,2030,2561	
68ST-HUNTER CO,04/03/2020,1986,2448	
68ST-HUNTER CO,04/04/2020,1078,1275	
68ST-HUNTER CO,04/05/2020,825,1086	
68ST-HUNTER CO,04/06/2020,1798,2285	
68ST-HUNTER CO,04/07/2020,1805,2298	
68ST-HUNTER CO,04/08/2020,1777,2223	
68ST-HUNTER CO,04/09/2020,1738,2098	
68ST-HUNTER CO,04/10/2020,1700,2088	
68ST-HUNTER CO,04/11/2020,977,1213	
68ST-HUNTER CO,04/12/2020,712,934	
68ST-HUNTER CO,04/13/2020,1552,1949	
68ST-HUNTER CO,04/14/2020,1789,2221	
68ST-HUNTER CO,04/15/2020,1726,2151	
68ST-HUNTER CO,04/16/2020,1750,2193	
68ST-HUNTER CO,04/17/2020,1709,2180	
68ST-HUNTER CO,04/18/2020,905,1152	
68ST-HUNTER CO,04/19/2020,741,973	
68ST-HUNTER CO,04/20/2020,1684,2126	
68ST-HUNTER CO,04/21/2020,1651,2138	
68ST-HUNTER CO,04/22/2020,1748,2229	
68ST-HUNTER CO,04/23/2020,1704,2130	
68ST-HUNTER CO,04/24/2020,1692,2185	
68ST-HUNTER CO,04/25/2020,918,1196	
68ST-HUNTER CO,04/26/2020,724,988	
68ST-HUNTER CO,04/27/2020,1731,2308	
68ST-HUNTER CO,04/28/2020,1757,2248	
68ST-HUNTER CO,04/29/2020,1686,2290	
68ST-HUNTER CO,04/30/2020,1712,2316	
68ST-HUNTER CO,05/01/2020,1667,2285	
68ST-HUNTER CO,05/02/2020,982,1279	
68ST-HUNTER CO,05/03/2020,785,1084	
68ST-HUNTER CO,05/04/2020,1800,2352	
68ST-HUNTER CO,05/05/2020,1857,2445	
68ST-HUNTER CO,05/06/2020,1909,2367	
68ST-HUNTER CO,05/07/2020,1819,2460	
68ST-HUNTER CO,05/08/2020,1838,2347	
68ST-HUNTER CO,05/09/2020,929,1444	
68ST-HUNTER CO,05/10/2020,711,1142	
68ST-HUNTER CO,05/11/2020,1810,2379	
68ST-HUNTER CO,05/12/2020,1985,2559	
68ST-HUNTER CO,05/13/2020,1968,2614	
68ST-HUNTER CO,05/14/2020,1960,2524	
68ST-HUNTER CO,05/15/2020,1889,2560	
68ST-HUNTER CO,05/16/2020,1037,1332	
68ST-HUNTER CO,05/17/2020,739,1054	
68ST-HUNTER CO,05/18/2020,2084,2611	
68ST-HUNTER CO,05/19/2020,2133,2707	
68ST-HUNTER CO,05/20/2020,2123,2651	
68ST-HUNTER CO,05/21/2020,2102,2665	
68ST-HUNTER CO,05/22/2020,2035,2643	
68ST-HUNTER CO,05/23/2020,1025,1455	
68ST-HUNTER CO,05/24/2020,809,1189	
68ST-HUNTER CO,05/25/2020,1034,1378	
68ST-HUNTER CO,05/26/2020,2256,2876	
68ST-HUNTER CO,05/27/2020,2374,3060	
68ST-HUNTER CO,05/28/2020,2372,3185	
68ST-HUNTER CO,05/29/2020,2289,2952	
68ST-HUNTER CO,05/30/2020,1185,1758	
68ST-HUNTER CO,05/31/2020,910,1372	
68ST-HUNTER CO,06/01/2020,2464,3188	
68ST-HUNTER CO,06/02/2020,2869,3237	
68ST-HUNTER CO,06/03/2020,2655,3299	
68ST-HUNTER CO,06/04/2020,2678,3470	
68ST-HUNTER CO,06/05/2020,2540,3300	
68ST-HUNTER CO,06/06/2020,1281,1759	
68ST-HUNTER CO,06/07/2020,1060,1474	
68ST-HUNTER CO,06/08/2020,2895,3737	
68ST-HUNTER CO,06/09/2020,3132,4090	
68ST-HUNTER CO,06/10/2020,3309,4243	
68ST-HUNTER CO,06/11/2020,3240,4324	
68ST-HUNTER CO,06/12/2020,3346,4226	
68ST-HUNTER CO,06/13/2020,1451,2090	
68ST-HUNTER CO,06/14/2020,1044,1652	
68ST-HUNTER CO,06/15/2020,3584,4567	
68ST-HUNTER CO,06/16/2020,3723,4622	
68ST-HUNTER CO,06/17/2020,3828,4770	
68ST-HUNTER CO,06/18/2020,3692,4739	
68ST-HUNTER CO,06/19/2020,3826,4686	
68ST-HUNTER CO,06/20/2020,1379,2091	
68ST-HUNTER CO,06/21/2020,1028,1524	
68ST-HUNTER CO,06/22/2020,4065,5001	
68ST-HUNTER CO,06/23/2020,4209,5203	
68ST-HUNTER CO,06/24/2020,4302,5370	
68ST-HUNTER CO,06/25/2020,4293,5295	
68ST-HUNTER CO,06/26/2020,4138,5230	
68ST-HUNTER CO,06/27/2020,1563,2199	
68ST-HUNTER CO,06/28/2020,1302,1754	
68ST-HUNTER CO,06/29/2020,4335,5501	
68ST-HUNTER CO,06/30/2020,4589,5726	
68ST-HUNTER CO,07/01/2020,4566,5738	
68ST-HUNTER CO,07/02/2020,4290,5462	
68ST-HUNTER CO,07/03/2020,2265,3106	
68ST-HUNTER CO,07/04/2020,1339,1740	
68ST-HUNTER CO,07/05/2020,1135,1536	
68ST-HUNTER CO,07/06/2020,4472,5458	
68ST-HUNTER CO,07/07/2020,4586,5695	
68ST-HUNTER CO,07/08/2020,4678,5716	
68ST-HUNTER CO,07/09/2020,4687,5865	
68ST-HUNTER CO,07/10/2020,4349,5297	
68ST-HUNTER CO,07/11/2020,1586,2192	
68ST-HUNTER CO,07/12/2020,1293,1863	
68ST-HUNTER CO,07/13/2020,4638,5763	
68ST-HUNTER CO,07/14/2020,4694,5941	
68ST-HUNTER CO,07/15/2020,4896,6065	
68ST-HUNTER CO,07/16/2020,4695,6025	
68ST-HUNTER CO,07/17/2020,4471,5757	
68ST-HUNTER CO,07/18/2020,1992,3066	
68ST-HUNTER CO,07/19/2020,1528,2263	
68ST-HUNTER CO,07/20/2020,4623,5772	
68ST-HUNTER CO,07/21/2020,4909,6245	
68ST-HUNTER CO,07/22/2020,4833,6174	
68ST-HUNTER CO,07/23/2020,4824,6091	
68ST-HUNTER CO,07/24/2020,4484,5765	
68ST-HUNTER CO,07/25/2020,2075,3276	
68ST-HUNTER CO,07/26/2020,1471,2333	
68ST-HUNTER CO,07/27/2020,4678,5943	
68ST-HUNTER CO,07/28/2020,4887,6172	
68ST-HUNTER CO,07/29/2020,5131,6507	
68ST-HUNTER CO,07/30/2020,4988,6237	
68ST-HUNTER CO,07/31/2020,4656,6013	
68ST-HUNTER CO,08/01/2020,1827,2674	
68ST-HUNTER CO,08/02/2020,1290,1910	
68ST-HUNTER CO,08/03/2020,4998,6085	
68ST-HUNTER CO,08/04/2020,4311,5532	
68ST-HUNTER CO,08/05/2020,5083,6388	
68ST-HUNTER CO,08/06/2020,5054,6408	
68ST-HUNTER CO,08/07/2020,32926,42142	
68ST-HUNTER CO,08/15/2020,1568,2007	
68ST-HUNTER CO,08/16/2020,1113,1572	
68ST-HUNTER CO,08/17/2020,5094,6322	
68ST-HUNTER CO,08/18/2020,5135,6491	
68ST-HUNTER CO,08/19/2020,5167,6596	
68ST-HUNTER CO,08/20/2020,5286,6757	
68ST-HUNTER CO,08/21/2020,4850,6197	
68ST-HUNTER CO,08/22/2020,1580,2198	
68ST-HUNTER CO,08/23/2020,1218,1733	
68ST-HUNTER CO,08/24/2020,5073,6450	
68ST-HUNTER CO,08/25/2020,5091,6570	
68ST-HUNTER CO,08/26/2020,5287,6816	
68ST-HUNTER CO,08/27/2020,5149,6524	
68ST-HUNTER CO,08/28/2020,4974,6349	
68ST-HUNTER CO,08/29/2020,1552,2099	
68ST-HUNTER CO,08/30/2020,1260,1788	
68ST-HUNTER CO,08/31/2020,5319,6723	
68ST-HUNTER CO,09/01/2020,5698,6991	
68ST-HUNTER CO,09/02/2020,5804,7209	
68ST-HUNTER CO,09/03/2020,5736,6877	
68ST-HUNTER CO,09/04/2020,5378,6764	
68ST-HUNTER CO,09/05/2020,1971,2586	
68ST-HUNTER CO,09/06/2020,1535,1974	
68ST-HUNTER CO,09/07/2020,1809,2378	
68ST-HUNTER CO,09/08/2020,-4002378,-2694305	
68ST-HUNTER CO,09/09/2020,4014652,2708958	
68ST-HUNTER CO,09/10/2020,-4002407,-2694268	
68ST-HUNTER CO,09/11/2020,6188,7221	
68ST-HUNTER CO,09/12/2020,2717,3786	
68ST-HUNTER CO,09/13/2020,1973,2676	
68ST-HUNTER CO,09/14/2020,6330,7370	
68ST-HUNTER CO,09/15/2020,6644,7877	
68ST-HUNTER CO,09/16/2020,6479,7650	
68ST-HUNTER CO,09/17/2020,6513,7469	
68ST-HUNTER CO,09/18/2020,6100,7308	
68ST-HUNTER CO,09/19/2020,2505,3300	
68ST-HUNTER CO,09/20/2020,1773,2239	
68ST-HUNTER CO,09/21/2020,6300,7383	
